AGENT,ITERATION,NO OF GHOSTS,RESULT,TIME
A3,587,21,FALSE,0.175251961
A3,588,21,FALSE,0.166977167
A3,589,21,TRUE,0.318080187
A3,590,21,FALSE,0.11109972
A3,591,21,TRUE,0.319689035
A3,592,21,TRUE,0.242266178
A3,593,21,TRUE,0.171183825
A3,594,21,FALSE,0.132714987
A3,595,21,FALSE,0.056175232
A3,596,21,FALSE,0.100394011
A3,597,21,TRUE,0.274243116
A3,598,21,TRUE,0.178917885
A3,599,21,FALSE,0.138092041
A3,600,21,FALSE,0.006933928
A3,601,21,FALSE,0.004698992
A3,602,21,FALSE,0.100990295
A3,603,21,TRUE,0.256522179
A3,604,21,FALSE,0.110059023
A3,605,21,FALSE,0.17723918
A3,606,21,TRUE,0.17656827
A3,607,21,FALSE,0.034256935
A3,608,21,TRUE,0.160046101
A3,609,21,TRUE,0.158396006
A3,610,22,FALSE,0.06507802
A3,611,22,FALSE,0.035856009
A3,612,22,FALSE,0.22790885
A3,613,22,FALSE,0.202776194
A3,614,22,FALSE,0.139923334
A3,615,22,TRUE,0.167047977
A3,616,22,FALSE,0.044959068
A3,617,22,FALSE,0.231077909
A3,618,22,FALSE,0.181473017
A3,619,22,TRUE,0.160263062
A3,620,22,FALSE,0.130463839
A3,621,22,FALSE,0.177525043
A3,622,22,FALSE,0.241194963
A3,623,22,FALSE,0.011379004
A3,624,22,FALSE,0.027877808
A3,625,22,TRUE,0.16527319
A3,626,22,TRUE,0.215393066
A3,627,22,TRUE,0.168678045
A3,628,22,FALSE,0.243282795
A3,629,22,FALSE,0.278643131
A3,630,22,FALSE,0.083176136
A3,631,22,TRUE,0.412789822
A3,632,22,FALSE,0.085178852
A3,633,22,TRUE,0.168074846
A3,634,22,FALSE,0.113545895
A3,635,22,TRUE,0.159816027
A3,636,22,FALSE,0.092039824
A3,637,22,TRUE,0.201626301
A3,638,22,FALSE,0.084651947
A3,639,23,FALSE,0.108139992
A3,640,23,FALSE,0.107937098
A3,641,23,FALSE,0.155051947
A3,642,23,TRUE,0.197136164
A3,643,23,FALSE,0.037668943
A3,644,23,TRUE,0.340811968
A3,645,23,FALSE,0.132494211
A3,646,23,TRUE,0.184024096
A3,647,23,FALSE,0.314867973
A3,648,23,FALSE,0.011693001
A3,649,23,FALSE,0.049396992
A3,650,23,TRUE,0.188624144
A3,651,23,FALSE,0.129538059
A3,652,23,FALSE,0.097626925
A3,653,23,TRUE,0.178303003
A3,654,23,FALSE,0.097356796
A3,655,23,FALSE,0.145934105
A3,656,23,TRUE,0.189208984
A3,657,23,TRUE,0.321906805
A3,658,23,FALSE,0.031249046
A3,659,23,FALSE,0.016881943
A3,660,23,FALSE,0.202707052
A3,661,23,FALSE,0.333357096
A3,662,23,FALSE,0.175904036
A3,663,23,FALSE,0.03959918
A3,664,23,FALSE,0.231827974
A3,665,23,TRUE,0.19598794
A3,666,23,TRUE,0.204146147
A3,667,23,TRUE,0.167736769
A3,668,24,TRUE,0.297206879
A3,669,24,FALSE,0.293835163
A3,670,24,FALSE,0.119213104
A3,671,24,FALSE,0.198084116
A3,672,24,FALSE,0.048002005
A3,673,24,FALSE,0.225739956
A3,674,24,TRUE,0.204438925
A3,675,24,FALSE,0.209138155
A3,676,24,TRUE,0.272906065
A3,677,24,FALSE,0.148424864
A3,678,24,FALSE,0.037439108
A3,679,24,FALSE,0.025228977
A3,680,24,TRUE,0.21666193
A3,681,24,TRUE,0.224842072
A3,682,24,TRUE,0.16152215
A3,683,24,FALSE,0.133754015
A3,684,24,FALSE,0.174268961
A3,685,24,FALSE,0.03743577
A3,686,24,FALSE,0.217504025
A3,687,24,FALSE,0.021618366
A3,688,24,FALSE,0.016256094
A3,689,24,FALSE,0.090329885
A3,690,24,FALSE,0.047236919
A3,691,24,FALSE,0.0664289
A3,692,24,FALSE,0.124964237
A3,693,24,TRUE,0.195855141
A3,694,24,FALSE,0.100396156
A3,695,24,TRUE,0.159643888
A3,696,24,FALSE,0.023078203
A3,697,25,FALSE,0.084925175
A3,698,25,FALSE,0.040552855
A3,699,25,TRUE,0.338193893
A3,700,25,TRUE,0.252147198
A3,701,25,FALSE,0.071641922
A3,702,25,TRUE,0.332227707
A3,703,25,FALSE,0.053196192
A3,704,25,TRUE,0.201837778
A3,705,25,TRUE,0.194072723
A3,706,25,FALSE,0.487885952
A3,707,25,FALSE,0.007932901
A3,708,25,TRUE,0.216565847
A3,709,25,FALSE,0.175872087
A3,710,25,TRUE,0.430473328
A3,711,25,FALSE,0.132703066
A3,712,25,TRUE,0.229264259
A3,713,25,FALSE,0.024384022
A3,714,25,TRUE,0.213362932
A3,715,25,FALSE,0.042782068
A3,716,25,FALSE,0.059422016
A3,717,25,FALSE,0.046916008
A3,718,25,FALSE,0.129864931
A3,719,25,FALSE,0.101350069
A3,720,25,FALSE,0.144696951
A3,721,25,FALSE,0.165137768
A3,722,25,TRUE,0.294291973
A3,723,25,FALSE,0.179051876
A3,724,25,FALSE,0.009562969
A3,725,25,FALSE,0.125757217
A3,726,26,FALSE,0.078740835
A3,727,26,FALSE,0.161392212
A3,728,26,FALSE,0.08813405
A3,729,26,TRUE,0.162499905
A3,730,26,TRUE,0.156807184
A3,731,26,FALSE,0.147264957
A3,732,26,TRUE,0.200812101
A3,733,26,FALSE,0.115488052
A3,734,26,TRUE,0.178306818
A3,735,26,FALSE,0.117129087
A3,736,26,TRUE,0.15527606
